Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,-0.0152240784632266,0.00062608413149691,0.141622269399153,0,0,0,8.74374296139117,0.0473817781113333,8.07737065111168E-05,0.000506515175561223,0.0451932389195734,-9.47147111266396E-06,0.0434202297379664,0,0,0,0,0,0,package://ludan_v0/meshes/Body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ludan_v0/meshes/Body.STL,,10.16.10.57-1;14.36-3/dm_4340__3d20240822_1(2)(1)-3;髋骨架V1.1-1;右腿V1.1-2/dm-j10010l-240726_1-5;左腿V1.1-2/dm-j10010l-240726_1-11,OBase,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RightShoulderPitch,0.000649259359740931,-0.0102344632841132,0.0855693151871858,0,0,0,0.399434037733127,0.000438266967537689,-7.73429398851146E-06,-9.04193137842321E-07,0.000563369056047911,1.60874802335731E-05,0.0002563898582228,0,0,0,0,0,0,package://ludan_v0/meshes/RightShoulderPitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightShoulderPitch.STL,,右臂V1.1-1/1-2V1.1-1;右臂V1.1-1/DM 6248 减速电机20250717_1-1,ORShoulderPitch,WRShoulderPitch,RightShoulderPitch,revolute,-0.0322633432164609,-0.1152375336243,0.314519084670872,-2.80633430581836,1.38585794535674,1.91143454067405,Body,0,0,-1,100,100,-3,3,,,,,,,,
RightShoulderRoll,0.0283985609999437,-0.016395916837917,0.00928679086743772,0,0,0,0.0842363600759801,3.83586021615135E-05,1.02399757305923E-05,1.32898641792268E-05,5.01827076506183E-05,-7.67290666137038E-06,4.56934761942265E-05,0,0,0,0,0,0,package://ludan_v0/meshes/RightShoulderRoll.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightShoulderRoll.STL,,右臂V1.1-1/零件2-3V1.1-1,ORShoulderRoll,WRShoulderRoll,RightShoulderRoll,revolute,0,0,0.0931999999999983,-1.57079632679489,0,0.0614729335395356,RightShoulderPitch,0,0,-1,100,100,-0.261,2.6,,,,,,,,
RightShoulderYaw,-0.00440229399088043,-5.54404399627992E-05,-0.211239092270953,0,0,0,1.48801509204858,0.00273302752670722,-1.13916521054185E-07,-0.000375651189212337,0.00268983764667374,4.30135940240202E-07,0.000858677131785925,0,0,0,0,0,0,package://ludan_v0/meshes/RightShoulderYaw.STL,1,1,1,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightShoulderYaw.STL,,右臂V1.1-1/DM 6248 减速电机20250717_1-3;右臂V1.1-1/零件3-4V1.1-1;右臂V1.1-1/dm_4340__3d20240822_1-1,ORShoulderYaw,WRShoulderYaw,RightShoulderYaw,revolute,0,0,-0.0142862201502383,-1.5707963267949,0,1.04719755119659,RightShoulderRoll,0,0,-1,100,100,-3,3,,,,,,,,
RightElbowPitch,6.52256026967279E-16,-0.021591110513575,0.0210579952501236,0,0,0,0.0438813047880979,1.80810396543836E-05,2.74528647736014E-21,7.57030103690086E-21,1.03757928904686E-05,-5.18605928564471E-06,1.59835320120182E-05,0,0,0,0,0,0,package://ludan_v0/meshes/RightElbowPitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightElbowPitch.STL,,右臂V1.1-1/4-5V1.1-1,ORElbowPitch,WRElbowPitch,RightElbowPitch,revolute,0,0,-0.259855262105579,1.5707963267949,0,1.5707963267949,RightShoulderYaw,0,0,-1,100,100,-2.09,2.09,,,,,,,,
RightElbowYaw,1.4345173978407E-05,-0.00303201104231993,-0.113601106543956,0,0,0,1.83396454448814,0.000686030243491682,-9.45777875907854E-07,5.15511842189736E-08,0.000739531755099932,1.15952973367071E-05,0.000706845335750933,0,0,0,0,0,0,package://ludan_v0/meshes/RightElbowYaw.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightElbowYaw.STL,,右臂V1.1-1/dm_4340__3d20240822_1-2;右臂V1.1-1/5-6V1.1-1;右臂V1.1-1/dm_4340__3d20240822_1-3,ORElbowYaw,WRElbowYaw,RightElbowYaw,revolute,0,0,0.0052999999999998,-1.5707963267949,0,0,RightElbowPitch,0,0,-1,100,100,-3.14,3.14,,,,,,,,
RightWristPitch,-0.00419634598488629,-0.0590033320610976,0.0106310495276834,0,0,0,0.989249767931049,0.000486339238994847,3.32579444406753E-05,1.31760301658227E-05,0.000363390695597361,-3.15487399745197E-05,0.000438176541327479,0,0,0,0,0,0,package://ludan_v0/meshes/RightWristPitch.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightWristPitch.STL,,右臂V1.1-1/dm_4340__3d20240822_1-4;右臂V1.1-1/Mirror7V1.1-1,ORWristPitch,WRWristPitch,RightWristPitch,revolute,0,0,-0.163300000000002,1.5707963267949,0,0,RightElbowYaw,0,0,-1,100,100,-1.83,1.83,,,,,,,,
RightWristRoll,0.0912420192062163,0.00257025273467509,0.00736570749180179,0,0,0,0.380767938949113,0.000164898325375258,2.41583944639132E-06,1.23494736177959E-05,0.000476195990905417,-5.4112053925284E-06,0.00038541928208078,0,0,0,0,0,0,package://ludan_v0/meshes/RightWristRoll.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightWristRoll.STL,,右臂V1.1-1/手连接件V1.1-1;右臂V1.1-1/仿人五指灵巧手-右-1,ORWristRoll,WRightWristRoll,RightWristRoll,revolute,0,-0.0619999999999991,0.00929999999999997,1.5707963267949,0,-1.5707963267949,RightWristPitch,0,0,-1,100,100,-1.57,1.57,,,,,,,,
LeftShoulderPitch,0.0008561628491697,0.0102192347188457,0.0856026286995777,0,0,0,0.399434058453214,0.000438631502513642,1.02587473751059E-05,-1.39900896142113E-06,0.000563004911156977,-1.60326318338583E-05,0.000256389467461728,0,0,0,0,0,0,package://ludan_v0/meshes/LeftShoulderPitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ludan_v0/meshes/LeftShoulderPitch.STL,,左臂V1.1-1/1-2V1.1-1;左臂V1.1-1/DM 6248 减速电机20250717_1-1,OLShoulderPitch,WLShoulderPitch,LeftShoulderPitch,revolute,-0.0322633432164609,0.115157509310927,0.314519084670872,2.70808193904271,1.37826041279858,-2.01145956661368,Body,0,0,-1,100,100,-3,3,,,,,,,,
LeftShoulderRoll,0.0283985609999436,0.0163959168379152,0.00928679086743653,0,0,0,0.08423636007598,3.83586021615132E-05,-1.02399757305921E-05,1.32898641792269E-05,5.01827076506186E-05,7.67290666137014E-06,4.56934761942266E-05,0,0,0,0,0,0,package://ludan_v0/meshes/LeftShoulderRoll.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ludan_v0/meshes/LeftShoulderRoll.STL,,左臂V1.1-1/零件2-3V1.1-1,OLShoulderRoll,WLShoulderRoll,LeftShoulderRoll,revolute,0,0,0.0931999999999998,1.57079632679489,0,-0.0817085968943328,LeftShoulderPitch,0,0,-1,100,100,-2.6,0.26,,,,,,,,
